unix_ms,lsl_unix_ts,TP9,AF7,AF8,TP10,Right AUX
1767593598375,1767593598.3610938,-20.01953125,-59.08203125,-34.66796875,-36.62109375,64.453125
1767593598427,1767593598.332125,-20.99609375,-50.29296875,-38.0859375,-36.62109375,-128.90625
1767593598427,1767593598.3360312,-15.625,-75.1953125,-39.55078125,-35.64453125,99.12109375
1767593598427,1767593598.3399374,-20.5078125,-80.56640625,-42.48046875,-39.55078125,375.9765625
1767593598427,1767593598.3438437,-26.3671875,-49.8046875,-40.52734375,-44.43359375,293.45703125
1767593598427,1767593598.34775,-29.296875,-65.4296875,-38.0859375,-39.0625,171.875
1767593598427,1767593598.3516562,-27.34375,-86.9140625,-37.59765625,-34.66796875,247.0703125
1767593598427,1767593598.3555624,-29.78515625,-131.34765625,-37.109375,-30.2734375,658.69140625
1767593598427,1767593598.3594687,-35.64453125,-122.0703125,-40.52734375,-33.203125,827.63671875
1767593598427,1767593598.363375,-35.64453125,-41.50390625,-44.43359375,-49.31640625,312.01171875
1767593598427,1767593598.3672812,-26.85546875,-24.4140625,-38.0859375,-42.96875,-69.3359375
1767593598427,1767593598.3711874,-24.4140625,-22.94921875,-36.1328125,-32.2265625,23.4375
1767593598427,1767593598.3750937,-20.5078125,-37.59765625,-36.1328125,-31.73828125,-128.90625
1767593598457,1767593598.382125,-20.99609375,-49.8046875,-36.1328125,-37.59765625,-335.44921875
1767593598457,1767593598.3860312,-20.99609375,-78.61328125,-32.2265625,-26.3671875,-118.1640625
1767593598457,1767593598.3899374,-21.97265625,-117.67578125,-35.64453125,-10.25390625,419.921875
1767593598457,1767593598.3938437,-25.87890625,-26.3671875,-40.0390625,-22.4609375,177.24609375
1767593598457,1767593598.39775,-21.97265625,-12.6953125,-34.1796875,-29.78515625,-210.44921875
1767593598457,1767593598.4016562,-19.53125,-87.40234375,-33.203125,-21.97265625,44.921875
1767593598457,1767593598.4055624,-24.4140625,-65.4296875,-33.69140625,-22.94921875,129.39453125
